iter	RMSE
0	3923.540074
1	3813.584183
2	3706.03872
3	3601.575686
4	3500.941997
5	3402.397097
6	3307.448685
7	3216.16342
8	3126.673713
9	3040.785174
10	2958.095411
11	2876.472142
12	2797.315025
13	2720.891594
14	2646.843268
15	2575.105274
16	2505.74923
17	2437.992882
18	2372.035772
19	2308.723751
20	2247.455699
21	2188.544643
22	2131.643399
23	2075.697921
24	2021.185559
25	1968.777301
26	1918.4109
27	1869.358555
28	1822.438253
29	1776.600845
30	1732.447597
31	1689.391075
32	1647.540017
33	1607.447061
34	1568.607142
35	1530.993259
36	1494.181903
37	1459.365148
38	1425.341812
39	1392.882647
40	1361.270132
41	1330.125707
42	1300.671386
43	1271.673852
44	1243.678574
45	1216.992339
46	1191.441941
47	1166.731019
48	1142.930924
49	1120.058141
50	1097.844116
51	1076.705749
52	1056.305727
53	1036.179373
54	1017.47739
55	999.2285197
56	981.7529249
57	964.8993378
58	948.6029667
59	933.1986806
60	918.0957153
61	903.4493964
62	889.4500097
63	876.451464
64	863.6028878
65	851.5394776
66	839.8242788
67	828.2186048
68	817.3130188
69	806.7862975
70	796.8324742
71	787.1504724
72	778.0938375
73	769.2460623
74	760.7873689
75	752.6877611
76	744.8173839
77	737.4658701
78	730.5621443
79	723.7997648
80	717.433833
81	711.1721134
82	705.1629578
83	699.3119113
84	694.1011387
85	688.8498783
86	683.9070496
87	678.9820253
88	674.3638262
89	669.9955452
90	665.8307018
91	661.8976152
92	658.0470754
93	654.488058
94	651.145503
95	648.0113692
96	644.8447194
97	641.7041201
98	638.8477833
99	636.0399017
100	633.4121095
101	630.7670586
102	628.3064971
103	625.93015
104	623.7110302
105	621.5082
106	619.5384092
107	617.6649543
108	615.7997248
109	613.9856097
110	612.2370748
111	610.610701
112	609.0516591
113	607.5312361
114	606.2508138
115	604.8658255
116	603.4866833
117	602.3224945
118	601.1658426
119	599.9775443
120	598.8769484
121	597.8441115
122	596.8095419
123	595.8294217
124	594.9117656
125	594.0238197
126	593.1497967
127	592.3078001
128	591.5640626
129	590.8240766
130	590.1234427
131	589.3824243
132	588.7035103
133	588.0653781
134	587.4441471
135	586.7951237
136	586.2157534
137	585.6914899
138	585.1502305
139	584.6704132
140	584.205329
141	583.7012737
142	583.222937
143	582.746204
144	582.3103533
145	581.8996571
146	581.4865566
147	581.1063573
148	580.6952838
149	580.3830185
150	580.0081895
151	579.6587496
152	579.3577453
153	578.9915992
154	578.6615343
155	578.373022
156	578.0520134
157	577.7600901
158	577.4657876
159	577.1852784
160	576.9168011
161	576.6378024
162	576.3725454
163	576.1228765
164	575.9132772
165	575.664494
166	575.4360742
167	575.1724997
168	574.9424793
169	574.6879235
170	574.4905854
171	574.320001
172	574.1213613
173	573.9047752
174	573.7010615
175	573.506802
176	573.2622198
177	573.1199582
178	572.9451013
179	572.7665176
180	572.562284
181	572.4195082
182	572.2774214
183	572.0640875
184	571.8836231
185	571.6724406
186	571.5092583
187	571.4004081
188	571.2342563
189	571.0625684
190	570.9012376
191	570.8080223
192	570.6765508
193	570.515066
194	570.3956995
