iter	Passed	Remaining
0	46	22963
1	92	23129
2	140	23236
3	190	23646
4	239	23688
5	288	23785
6	338	23843
7	388	23910
8	438	23943
9	489	24001
10	535	23787
11	582	23675
12	630	23603
13	677	23526
14	722	23361
15	765	23168
16	811	23041
17	857	22970
18	906	22943
19	952	22850
20	998	22775
21	1044	22700
22	1095	22710
23	1144	22695
24	1279	24318
25	1329	24242
26	1377	24139
27	1426	24040
28	1471	23899
29	1518	23787
30	1563	23649
31	1608	23525
32	1654	23415
33	1702	23336
34	1748	23223
35	1796	23151
36	1848	23130
37	1898	23079
38	1951	23064
39	2004	23055
40	2059	23055
41	2109	22999
42	2158	22937
43	2207	22873
44	2253	22789
45	2300	22707
46	2347	22627
47	2392	22532
48	2441	22468
49	2487	22386
50	2532	22298
51	2577	22207
52	2624	22136
53	2670	22058
54	2718	21996
55	2766	21933
56	2814	21876
57	2865	21834
58	2914	21782
59	2964	21741
60	3012	21676
61	3059	21614
62	3105	21542
63	3150	21464
64	3195	21388
65	3277	21554
66	3321	21466
67	3366	21387
68	3412	21316
69	3459	21250
70	3506	21188
71	3552	21115
72	3597	21045
73	3643	20977
74	3689	20905
75	3735	20837
76	3779	20765
77	3826	20703
78	3872	20635
79	3918	20573
80	3964	20508
81	4011	20448
82	4058	20388
83	4104	20327
84	4150	20266
85	4196	20201
86	4243	20144
87	4417	20680
88	4510	20830
89	4678	21313
90	4734	21279
91	4789	21238
92	4837	21168
93	4885	21101
94	4934	21037
95	4983	20970
96	5028	20892
97	5076	20822
98	5124	20754
99	5168	20675
100	5216	20607
101	5264	20540
102	5311	20473
103	5356	20396
104	5404	20331
105	5451	20263
106	5499	20199
107	5549	20141
108	5600	20088
109	5646	20019
110	5693	19952
111	5740	19887
112	5788	19824
113	5842	19782
114	5892	19727
115	5939	19661
116	5986	19596
117	6033	19531
118	6172	19762
119	6273	19864
120	6334	19841
121	6389	19795
122	6445	19754
123	6499	19709
124	6550	19650
125	6601	19594
126	6648	19528
127	6699	19470
128	6748	19409
129	6799	19351
130	6849	19293
131	6897	19230
132	6944	19163
133	6993	19102
