iter	RMSE
0	3961.961748
1	3887.506293
2	3814.134349
3	3743.528462
4	3673.77779
5	3605.282518
6	3537.942759
7	3471.989053
8	3407.464023
9	3344.094185
10	3282.67095
11	3222.197985
12	3162.738904
13	3104.659241
14	3047.562806
15	2991.60337
16	2937.035001
17	2884.066802
18	2831.505964
19	2779.82889
20	2729.692003
21	2680.567428
22	2632.202637
23	2584.746342
24	2538.596687
25	2493.376659
26	2448.97213
27	2405.476899
28	2363.03766
29	2321.355178
30	2280.289492
31	2240.568642
32	2201.358127
33	2163.395105
34	2125.651452
35	2088.928842
36	2052.877906
37	2017.778374
38	1983.085167
39	1948.965053
40	1915.70456
41	1883.475955
42	1852.405801
43	1821.712409
44	1791.312981
45	1761.779671
46	1732.849216
47	1704.314563
48	1676.37105
49	1649.070063
50	1622.694287
51	1596.670867
52	1571.247731
53	1546.579526
54	1522.579725
55	1498.935353
56	1476.08434
57	1453.204296
58	1430.783855
59	1409.154707
60	1387.885826
61	1367.360574
62	1347.037902
63	1327.077032
64	1307.978706
65	1289.108134
66	1270.539219
67	1252.446176
68	1234.40797
69	1217.188491
70	1200.209225
71	1183.875594
72	1167.960939
73	1152.278877
74	1136.959959
75	1122.298339
76	1107.78132
77	1093.617378
78	1079.746823
79	1066.272087
80	1053.252777
81	1040.359612
82	1027.858268
83	1015.72447
84	1003.862926
85	992.5524943
86	981.2638788
87	970.3785274
88	959.3868548
89	948.8582831
90	938.6178816
91	928.663843
92	919.0713613
93	909.710212
94	900.662542
95	891.881519
96	882.963507
97	874.3943204
98	865.943664
99	857.927819
100	850.252582
101	842.6721196
102	835.4658118
103	828.384752
104	821.4942298
105	814.7899721
106	808.3204111
107	801.9143221
108	795.4991925
109	789.232318
110	783.3416299
111	777.7253948
112	771.9633888
113	766.5853386
114	761.4076628
115	756.3785835
116	751.3825192
117	746.4040944
118	741.5836671
119	737.1554423
120	732.7066152
121	728.3007287
122	724.153996
123	720.0511396
124	716.1295918
125	712.2143311
126	708.4814574
127	704.8994893
128	701.2176989
129	697.7784004
130	694.3020886
131	691.0603632
132	687.8650519
133	684.7164165
134	681.7864801
135	678.8209514
136	675.9549474
137	673.1668097
138	670.4262029
139	667.9736366
140	665.4519679
141	663.0548952
142	660.5745782
143	658.3066089
144	655.9961445
145	653.807335
146	651.6899013
147	649.656831
148	647.6953572
149	645.6967758
150	643.8002398
151	641.9059472
152	640.1292144
153	638.4117168
154	636.7288375
155	635.0646848
156	633.5301872
157	632.0526741
158	630.6097146
159	629.1766764
160	627.7656654
161	626.3988006
162	625.0885291
163	623.7746522
164	622.5408331
165	621.2991444
166	620.1436838
167	619.0310235
168	617.8637053
169	616.7494696
170	615.64688
171	614.60827
172	613.6609707
173	612.6823021
174	611.7936033
175	610.8275976
176	609.9445695
177	609.0920611
178	608.2862414
179	607.4549509
180	606.7180001
181	605.8925024
182	605.1640602
183	604.4164876
184	603.7385788
185	603.0548083
186	602.3299239
187	601.6093944
188	600.9445287
189	600.3132918
190	599.6800534
191	599.0363811
192	598.4786262
193	597.9047416
194	597.3173216
195	596.8268471
196	596.2716193
197	595.7774681
198	595.288272
199	594.7489518
200	594.2965307
201	593.82328
202	593.3474592
203	592.874733
204	592.4593133
205	592.0376603
206	591.6120091
207	591.1697812
208	590.7830615
209	590.3953942
210	590.0100061
211	589.633165
212	589.2392145
213	588.9099751
214	588.5637754
215	588.2291769
216	587.9069309
217	587.5895014
218	587.2805777
219	586.9900433
220	586.7223103
221	586.399869
222	586.0978691
223	585.7838697
224	585.5181093
225	585.2277446
226	584.983769
227	584.7560749
228	584.5269572
229	584.2936231
230	584.0293046
231	583.793815
232	583.5652379
233	583.3247327
234	583.0748883
235	582.8339839
236	582.588186
