iter	Passed	Remaining
0	36	21714
1	70	21136
2	100	20091
3	132	19670
4	162	19379
5	193	19196
6	227	19233
7	259	19213
8	290	19050
9	318	18813
10	347	18620
11	378	18555
12	412	18619
13	443	18548
14	473	18454
15	503	18395
16	533	18279
17	563	18218
18	594	18186
19	626	18166
20	658	18146
21	688	18080
22	717	18012
23	748	17958
24	778	17904
25	808	17858
26	836	17751
27	867	17724
28	898	17685
29	928	17649
30	957	17581
31	987	17534
32	1016	17457
33	1046	17423
34	1074	17345
35	1101	17249
36	1130	17205
37	1160	17163
38	1188	17095
39	1215	17011
40	1242	16940
41	1268	16857
42	1296	16797
43	1324	16730
44	1352	16676
45	1378	16606
46	1407	16558
47	1436	16521
48	1463	16461
49	1495	16448
50	1523	16396
51	1550	16341
52	1580	16308
53	1609	16270
54	1639	16245
55	1667	16200
56	1689	16096
57	1715	16033
58	1744	15993
59	1774	15973
60	1805	15953
61	1835	15927
62	1864	15891
63	1891	15839
64	1920	15806
65	1963	15890
66	1996	15882
67	2030	15886
68	2063	15876
69	2090	15829
70	2121	15803
71	2151	15778
72	2182	15752
73	2211	15718
74	2242	15698
75	2270	15651
76	2297	15602
77	2323	15548
78	2350	15504
79	2377	15454
80	2402	15396
81	2429	15345
82	2453	15284
83	2479	15233
84	2505	15179
85	2532	15138
86	2559	15090
87	2585	15041
88	2612	14999
89	2638	14952
90	2664	14904
91	2691	14860
92	2717	14814
93	2740	14753
94	2763	14691
95	2787	14632
96	2815	14600
97	2844	14571
98	2873	14539
99	2901	14505
100	2929	14472
101	2956	14434
102	2982	14391
103	3009	14351
104	3037	14319
105	3063	14276
106	3091	14242
107	3116	14195
108	3143	14161
109	3170	14123
110	3196	14082
111	3222	14042
112	3247	13996
113	3276	13968
114	3303	13932
115	3328	13889
116	3356	13856
117	3382	13817
118	3408	13775
119	3435	13743
120	3461	13704
121	3489	13670
122	3514	13628
123	3541	13596
124	3569	13564
125	3594	13523
126	3620	13484
127	3645	13443
128	3672	13408
129	3698	13369
130	3723	13330
131	3749	13294
132	3775	13257
133	3801	13219
134	3829	13188
135	3855	13155
136	3881	13119
137	3907	13081
138	3935	13050
139	3961	13014
140	3986	12977
141	4012	12940
142	4037	12904
143	4064	12871
144	4088	12830
145	4113	12792
146	4140	12759
147	4166	12723
148	4190	12684
149	4217	12651
150	4244	12620
151	4269	12584
152	4294	12547
153	4318	12507
154	4344	12473
155	4370	12438
156	4396	12406
157	4421	12370
158	4446	12333
159	4471	12297
160	4497	12264
161	4525	12234
162	4551	12201
163	4577	12168
164	4602	12134
165	4629	12104
166	4657	12075
167	4683	12043
168	4709	12011
169	4735	11978
170	4761	11946
171	4787	11913
172	4812	11877
173	4836	11842
174	4861	11806
175	4887	11773
176	4912	11739
177	4937	11705
178	4962	11672
179	4987	11638
180	5012	11602
181	5038	11573
182	5064	11541
183	5090	11508
184	5116	11476
185	5142	11445
186	5168	11413
187	5193	11382
188	5219	11350
189	5246	11320
190	5271	11288
191	5298	11258
192	5322	11223
193	5349	11195
194	5374	11162
195	5399	11130
196	5425	11098
197	5451	11068
198	5478	11039
199	5503	11007
200	5529	10977
201	5553	10942
202	5581	10915
203	5606	10884
204	5632	10852
205	5658	10823
206	5683	10790
207	5709	10760
208	5734	10728
209	5758	10694
210	5784	10663
211	5811	10635
212	5838	10607
213	5862	10574
214	5889	10546
215	5915	10515
216	5938	10481
217	5963	10449
218	5990	10421
219	6015	10390
220	6042	10363
221	6067	10331
222	6091	10298
223	6117	10268
224	6141	10236
225	6167	10206
226	6194	10178
227	6219	10147
228	6244	10117
229	6268	10084
230	6292	10051
231	6317	10020
232	6340	9986
233	6363	9952
234	6388	9921
235	6411	9888
236	6437	9860
237	6462	9829
238	6488	9801
239	6515	9773
240	6539	9741
241	6564	9711
242	6588	9678
243	6611	9646
244	6636	9615
245	6661	9586
246	6687	9557
247	6713	9528
248	6736	9496
249	6761	9465
250	6783	9432
251	6806	9399
252	6831	9370
253	6856	9340
254	6881	9310
255	6903	9276
256	6927	9245
257	6952	9215
258	6976	9185
259	7000	9154
260	7023	9122
261	7049	9094
262	7074	9064
263	7099	9036
264	7123	9005
265	7148	8976
266	7172	8945
267	7197	8916
268	7221	8886
269	7248	8859
270	7271	8828
271	7293	8795
272	7318	8766
273	7345	8739
274	7368	8708
275	7391	8677
276	7414	8646
277	7439	8617
278	7464	8588
279	7487	8557
280	7512	8528
281	7536	8498
282	7560	8468
283	7583	8437
284	7609	8409
285	7634	8382
286	7661	8355
287	7685	8325
288	7709	8296
289	7734	8267
290	7757	8237
291	7782	8208
292	7807	8180
293	7830	8150
294	7855	8121
295	7880	8093
296	7905	8065
297	7929	8036
298	7956	8010
299	7983	7983
300	8008	7955
301	8034	7927
302	8059	7899
303	8084	7872
304	8106	7841
305	8130	7811
306	8154	7783
307	8180	7755
308	8205	7727
309	8229	7698
310	8252	7669
311	8277	7640
312	8303	7613
313	8328	7585
314	8351	7556
315	8375	7527
316	8400	7499
317	8425	7471
318	8449	7442
319	8476	7416
320	8503	7390
321	8530	7364
322	8556	7337
323	8580	7309
324	8606	7282
325	8632	7255
326	8658	7228
327	8683	7200
328	8705	7171
329	8732	7144
330	8757	7116
331	8781	7088
332	8807	7061
333	8831	7033
334	8857	7006
335	8881	6978
336	8907	6951
337	8931	6923
338	8954	6893
339	8980	6867
340	9002	6837
341	9027	6810
342	9051	6781
343	9073	6752
344	9095	6723
345	9120	6695
346	9142	6665
347	9164	6636
348	9188	6608
349	9209	6577
350	9228	6546
351	9251	6518
352	9274	6489
353	9294	6458
354	9314	6428
355	9335	6398
356	9358	6369
357	9376	6338
358	9395	6307
359	9416	6277
360	9437	6247
361	9456	6217
362	9478	6188
363	9498	6158
364	9517	6127
365	9538	6098
366	9556	6067
367	9576	6037
368	9595	6006
369	9615	5977
370	9634	5946
371	9652	5916
372	9672	5886
373	9693	5857
374	9713	5828
375	9732	5798
376	9752	5768
377	9772	5739
378	9793	5710
379	9812	5680
380	9833	5652
381	9852	5622
382	9871	5592
383	9889	5562
384	9908	5533
385	9927	5504
386	9946	5474
387	9965	5444
388	9984	5415
389	10004	5386
